L' R U' F B
L' R U' B F
R L' U' F B
R L' U' B F
U2 L' U F B'
U2 L' U B' F
D2 R U' F' B
D2 R U' B F'
D2 R U' B F'
D2 R L U' F' B D2
D2 R L U' B D F'
D2 R L U' B D' F'
D2 R L U' B D2 F'
D2 R L U' B F' D
D2 R L U' B F' D'
D2 R L U' B F' D2
D2 R L D U' F' B
D2 R L D U' B F'
D2 R L D' U' F' B
D2 R L D' U' B F'
D2 R L D2 U' F' B
D2 R L D2 U' B F'
U2 R L U' F B' U2
U2 R L U' B' F U2
D2 R L' U' D F' B
D2 R L' U' D B F'
D2 R L' U' D' F' B
D2 R L' U' D' B F'
D2 R L' U' D2 F' B
D2 R L' U' D2 B F'
D2 R L' U' F' D B
D2 R L' U' F' D' B
D2 R L' U' F' D2 B
D2 R L' U' F' B D
D2 R L' U' F' B D'
D2 R L' U' F' B D2
D2 R L' U' B D F'
D2 R L' U' B D' F'
D2 R L' U' B D2 F'
D2 R L' U' B F' D
D2 R L' U' B F' D'
D2 R L' U' B F' D2
F' R L' U' F B R
F' R L' U' B F R
D2 R L' D U' F' B
D2 R L' D U' B F'
D2 R L' D' U' F' B
D2 R L' D' U' B F'
U2 R L' U D F B'
U2 R L' U D B' F
U2 R L' U D' F B'
U2 R L' U D' B' F
U2 R L' U D2 F B'
U2 R L' U D2 B' F
D2 R L' D2 U' F' B
D2 R L' D2 U' B F'
U2 R L' U F D B'
U2 R L' U F D' B'
U2 R L' U F D2 B'
U2 R L' U F B' D
U2 R L' U F B' D'
U2 R L' U F B' D2
U2 R L' U B' D F
U2 R L' U B' D' F
U2 R L' U B' D2 F
U2 R L' U B' F D
U2 R L' U B' F D'
U2 R L' U B' F D2
U2 R L' D U F B'
U2 R L' D U B' F
U2 R L' D' U F B'
U2 R L' D' U B' F
U2 R L' D2 U F B'
U2 R L' D2 U B' F
F2 R L' F2 U' F' B
F2 R L' F2 U' B F'
D2 R L2 U' D F' B
D2 R L2 U' D B F'
D2 R L2 U' D' F' B
D2 R L2 U' D' B F'
D2 R L2 U' D2 F' B
D2 R L2 U' D2 B F'
D2 R L2 U' F' D B
D2 R L2 U' F' D' B
D2 R L2 U' F' D2 B
D2 R L2 U' F' B D
D2 R L2 U' F' B D'
D2 R L2 U' F' B D2
D2 R L2 U' B D F'
D2 R L2 U' B D' F'
D2 R L2 U' B D2 F'
D2 R L2 U' B F' D
D2 R L2 U' B F' D'
D2 R L2 U' B F' D2
D2 R L2 D U' F' B
D2 R L2 D U' B F'
B2 R L' B2 U' F B'
B2 R L' B2 U' B' F
D2 R L2 D' U' F' B
D2 R L2 D' U' B F'
R' U F' L B' L' U2
D2 R L2 D2 U' F' B
D2 R L2 D2 U' B F'
L' U F' U L' U F2
R' U F' U' L' U' F
R' U F' U2 L' F L
L U F B' U' R U'
D2 R U F U2 F2 B
D2 R U F U2 B F2
D2 R U F2 U2 F B
D2 R U F2 U2 B F
D2 R U B' U2 F' B2
D2 R U B' U2 B2 F'
D2 R U B2 U2 F' B'
D2 R U B2 U2 B' F'
D2 R U' L B L' F'
D2 R U' L' F' L B
L U F' B' U L' U
D2 R U' L2 F' L2 B
D2 R U' L2 F' B L2
D2 R U' L2 B L2 F'
D2 R U' L2 B F' L2
D2 R U' D F' D B
D2 R U' D F' D' B
D2 R U' D F' D2 B
D2 R U' D F' B D
D2 R U' D F' B D'
D2 R U' D F' B D2
D2 R U' D B D F'
D2 R U' D B D' F'
D2 R U' D B D2 F'
D2 R U' D B F' D
D2 R U' D B F' D'
D2 R U' D B F' D2
D2 R U' D' F' D B
D2 R U' D' F' D' B
D2 R U' D' F' D2 B
D2 R U' D' F' B D
D2 R U' D' F' B D'
D2 R U' D' F' B D2
D2 R U' D' B D F'
D2 R U' D' B D' F'
D2 R U' D' B D2 F'
D2 R U' D' B F' D
D2 R U' D' B F' D'
D2 R U' D' B F' D2
D2 R U' D2 F' D B
D2 R U' D2 F' D' B
D2 R U' D2 F' D2 B
D2 R U' D2 F' B D
D2 R U' D2 F' B D'
D2 R U' D2 F' B D2
D2 R U' D2 B D F'
D2 R U' D2 B D' F'
D2 R U' D2 B D2 F'
D2 R U' D2 B F' D
D2 R U' D2 B F' D'
D2 R U' D2 B F' D2
D2 R U' F' L B L'
D2 R U' F' L2 B L2
D2 R U' F' D B D
D2 R U' F' D B D'
D2 R U' F' D B D2
D2 R U' F' D' B D
D2 R U' F' D' B D'
D2 R U' F' D' B D2
D2 R U' F' D2 B D
D2 R U' F' D2 B D'
D2 R U' F' D2 B D2
D2 R U' F' B2 D B'
D2 R U' F' B2 D' B'
D2 R U' F' B2 D2 B'
D2 R U' F2 D F B
D2 R U' F2 D B F
D2 R U' F2 D' F B
D2 R U' F2 D' B F
D2 R U' F2 D2 F B
D2 R U' F2 D2 B F
D2 R U' F2 B D F
D2 R U' F2 B D' F
D2 R U' F2 B D2 F
D2 R U' B L' F' L
D2 R U' B L2 F' L2
D2 R U' B D F' D
D2 R U' B D F' D'
D2 R U' B D F' D2
D2 R U' B D' F' D
D2 R U' B D' F' D'
D2 R U' B D' F' D2
D2 R U' B D2 F' D
D2 R U' B D2 F' D'
D2 R U' B D2 F' D2
D2 R U' B F2 D F
D2 R U' B F2 D' F
D2 R U' B F2 D2 F
D' R U' B U' R' U
D2 R U' B2 D F' B'
D2 R U' B2 D B' F'
D2 R U' B2 D' F' B'
D2 R U' B2 D' B' F'
D2 R U' B2 D2 F' B'
D2 R U' B2 D2 B' F'
D2 R U' B2 F' D B'
D2 R U' B2 F' D' B'
D2 R U' B2 F' D2 B'
D2 R U2 L U F' B
D2 R U2 L U B F'
D2 R U2 L' U F' B
D2 R U2 L' U B F'
D2 R U2 L2 U F' B
D2 R U2 L2 U B F'
D2 R D L U' F' B
D2 R D L U' B F'
D2 R D L' U' F' B
D2 R D L' U' B F'
D' R D L' U' F B
D' R D L' U' B F
D2 R D L2 U' F' B
D2 R D L2 U' B F'
D2 R D U' F' D B
D2 R D U' F' D' B
D2 R D U' F' D2 B
D2 R D U' F' B D
D2 R D U' F' B D'
D2 R D U' F' B D2
D2 R D U' B D F'
D2 R D U' B D' F'
D2 R D U' B D2 F'
D2 R D U' B F' D
D2 R D U' B F' D'
D2 R D U' B F' D2
L U B' U L' U B'
F' R D F L' U' B
L U B' U' R U' B
D2 R D' L U' F' B
D2 R D' L U' B F'
D2 R D' L' U' F' B
D2 R D' L' U' B F'
L U B' F U' R U'
D2 R D' L2 U' F' B
D2 R D' L2 U' B F'
L U B' F' U L' U
D2 R D' U' F' D B
D2 R D' U' F' D' B
D2 R D' U' F' D2 B
D2 R D' U' F' B D
D2 R D' U' F' B D'
D2 R D' U' F' B D2
D2 R D' U' B D F'
D2 R D' U' B D' F'
D2 R D' U' B D2 F'
D2 R D' U' B F' D
D2 R D' U' B F' D'
D2 R D' U' B F' D2
D R D' L' U' F B
D R D' L' U' B F
D2 R D2 L U' F' B
D2 R D2 L U' B F'
D2 R D2 L' U' F' B
D2 R D2 L' U' B F'
D2 R D2 L2 U' F' B
D2 R D2 L2 U' B F'
B R D' B' L U' B2
D2 R D2 U' F' D B
D2 R D2 U' F' D' B
D2 R D2 U' F' D2 B
D2 R D2 U' F' B D
D2 R D2 U' F' B D'
D2 R D2 U' F' B D2
D2 R D2 U' B D F'
D2 R D2 U' B D' F'
D2 R D2 U' B D2 F'
D2 R D2 U' B F' D
D2 R D2 U' B F' D'
D2 R D2 U' B F' D2
R' U' L' F L D2 B2
R' U' L' F D2 L B2
R U' L B L' D2 F2
F' R F L' U' F B
F' R F L' U' B F
R U' L B D2 L' F2
D R F L' F' U' B
R2 U' L' D2 F L B'
R2 U' L' F D2 L B'
R U' L' D F L B
R U' L' D' F L B
R U' L' D2 F L B
R U' L' F L D B
R U' L' F L D' B
R U' L' F L D2 B
R U' L' F L B D
R U' L' F L B D'
R U' L' F L B D2
R U' L' F L' B L2
R U' L' F L2 B L'
R U' L' F D L B
R U' L' F D' L B
R U' L' F D2 L B
R U' L' F' L F2 B
R U' L' F' L B F2
R U' L' F2 L F' B
R U' L' F2 L B F'
R U' L' B D2 F L'
R U' L2 B L F L
F2 R F2 L' U' F B
F2 R F2 L' U' B F
R2 U' R' D2 B R F'
R2 U' R' B D2 R F'
R U' R' D2 R F' B
R U' R' D2 R B F'
D' R B' L B U' B
B R B' L' U' F B2
B R B' L' U' B2 F
D2 R' L U F' B U2
D2 R' L U B F' U2
U2 R' L U' F B' U2
U2 R' L U' B' F U2
D2 R' L' U F' B U2
D2 R' L' U B F' U2
R U' D' B U' R' U
U2 R' L' U D F B'
U2 R' L' U D B' F
U2 R' L' U D' F B'
U2 R' L' U D' B' F
U2 R' L' U D2 F B'
U2 R' L' U D2 B' F
U2 R' L' U F D B'
U2 R' L' U F D' B'
U2 R' L' U F D2 B'
U2 R' L' U F B' D
U2 R' L' U F B' D'
U2 R' L' U F B' D2
U2 R' L' U B' D F
U2 R' L' U B' D' F
U2 R' L' U B' D2 F
U2 R' L' U B' F D
U2 R' L' U B' F D'
U2 R' L' U B' F D2
R U' D2 R F' R' B
L' U' F U R U' B
L' U' F U' L' U B'
U2 R' L' D U F B'
U2 R' L' D U B' F
U2 R' L' D' U F B'
U2 R' L' D' U B' F
U2 R' L' D2 U F B'
U2 R' L' D2 U B' F
D2 R' L2 U F' B U2
D2 R' L2 U B F' U2
R U' D2 B R F' R'
L' U' F B U' L U
L' U' F B' U R' U'
R U' F L' F L B
R U' F B L' F L
D2 R' U D F' B U2
D2 R' U D B F' U2
D2 R' U D' F' B U2
D2 R' U D' B F' U2
D2 R' U D2 F' B U2
R U' F' L' F L B
D2 R' U D2 B F' U2
D2 R' U F' D B U2
D2 R' U F' D' B U2
D2 R' U F' D2 B U2
D2 R' U F' B U2 D
D2 R' U F' B U2 D'
D2 R' U F' B U2 D2
D2 R' U F' B D U2
D2 R' U F' B D' U2
D2 R' U F' B D2 U2
B' R' U F' U2 L' F
D2 R' U B D F' U2
D2 R' U B D' F' U2
D2 R' U B D2 F' U2
D2 R' U B F' U2 D
D2 R' U B F' U2 D'
D2 R' U B F' U2 D2
D2 R' U B F' D U2
D2 R' U B F' D' U2
D2 R' U B F' D2 U2
R U' F' B L' F L
D R' U F' U R U
D2 R' U' R2 F' B R2
D2 R' U' R2 B F' R2
R U' F2 L' F L B
R U' F2 B L' F L
D2 R' U2 R2 U F' B
D2 R' U2 R2 U B F'
L' U' B F U' L U
R U' B L' D F L
R U' B L' D' F L
R U' B L' D2 F L
R U' B L' F L D
R U' B L' F L D'
R U' B L' F L D2
R U' B L' F D L
R U' B L' F D' L
R U' B L' F D2 L
R U' B L' F' L F2
R U' B L' F2 L F'
R U' B R' D2 R F'
R U' B U L' U' F
L' U' B' U R' U' F
R U' B D2 R F' R'
R U' B F L' F L
D2 R' D R2 U' F' B
D2 R' D R2 U' B F'
R U' B F' L' F L
L' U' B' F U R' U'
R U' B F2 L' F L
D2 R' D U F' B U2
D2 R' D U B F' U2
R U' B' L' F L B2
D2 R' D' R2 U' F' B
D2 R' D' R2 U' B F'
D2 R' D' U F' B U2
D2 R' D' U B F' U2
R U' B2 L' F L B'
R' U2 L U' F' B' U2
R' U2 L U' B' F' U2
D2 R' D2 R2 U' F' B
D2 R' D2 R2 U' B F'
D2 R' D2 U F' B U2
D2 R' D2 U B F' U2
R' U2 L' R2 U F B
R' U2 L' R2 U B F
R' U2 L' U F D2 B2
R' U2 L' U' F' U2 F2
R U2 L U B D2 F2
R U2 L U' B' U2 B2
L2 U2 L' R' U F' B'
L2 U2 L' R' U B' F'
R2 U2 L' R' U F B
R2 U2 L' R' U B F
R U2 L' U D F B
R U2 L' U D B F
R U2 L' U D' F B
R U2 L' U D' B F
R U2 L' U D2 F B
R U2 L' U D2 B F
R U2 L' U F D B
R U2 L' U F D' B
R U2 L' U F D2 B
R U2 L' U F B D
R U2 L' U F B D'
R U2 L' U F B D2
R U2 L' U B D F
R U2 L' U B D' F
R U2 L' U B D2 F
R U2 L' U B F D
R U2 L' U B F D'
R U2 L' U B F D2
R U2 L' D U F B
R U2 L' D U B F
R U2 L' D' U F B
R U2 L' D' U B F
R U2 L' D2 U F B
R U2 L' D2 U B F
L2 U2 R' L' U F' B'
L2 U2 R' L' U B' F'
R2 U2 R' L' U F B
R2 U2 R' L' U B F
R' U2 R2 L' U F B
R' U2 R2 L' U B F
U2 R2 L U' F B' U2
U2 R2 L U' B' F U2
U2 R2 L' U D F B'
U2 R2 L' U D B' F
U2 R2 L' U D' F B'
U2 R2 L' U D' B' F
U2 R2 L' U D2 F B'
U2 R2 L' U D2 B' F
U2 R2 L' U F D B'
U2 R2 L' U F D' B'
U2 R2 L' U F D2 B'
U2 R2 L' U F B' D
U2 R2 L' U F B' D'
U2 R2 L' U F B' D2
U2 R2 L' U B' D F
U2 R2 L' U B' D' F
U2 R2 L' U B' D2 F
U2 R2 L' U B' F D
U2 R2 L' U B' F D'
U2 R2 L' U B' F D2
U2 R2 L' D U F B'
U2 R2 L' D U B' F
U2 R2 L' D' U F B'
U2 R2 L' D' U B' F
U2 R2 L' D2 U F B'
U2 R2 L' D2 U B' F
L2 D L R U' F B
L2 D L R U' B F
L D L2 R U' F B
L D L2 R U' B F
L' D R U' D F B
L' D R U' D B F
L' D R U' D' F B
L' D R U' D' B F
L' D R U' D2 F B
L' D R U' D2 B F
L' D R U' F D B
L' D R U' F D' B
L' D R U' F D2 B
L' D R U' F B D
L' D R U' F B D'
L' D R U' F B D2
L' D R U' B D F
L' D R U' B D' F
L' D R U' B D2 F
L' D R U' B F D
L' D R U' B F D'
L' D R U' B F D2
L' D R D U' F B
L' D R D U' B F
L2 D R L U' F B
L2 D R L U' B F
L' D R D' U' F B
L' D R D' U' B F
L' D R D2 U' F B
L' D R D2 U' B F
L' D R' U F' U2 F2
L D R L2 U' F B
L D R L2 U' B F
L' D R' U' F D2 B2
L D R U B' U2 B2
L D R U' B D2 F2
L D R' U F' B' U2
L D R' U B' F' U2
R' D U F' U R U
R D F L' F' U' B
D2 U F U' R U' F'
D U F U' L' R U'
D U F U' R L' U'
L2 D' L R U' F B
L2 D' L R U' B F
U D F U' L' R U'
U D F U' R L' U'
D U F' U L' R U
D U F' U R L' U
U D F' U L' R U
U D F' U R L' U
L' D' R U' D F B
L' D' R U' D B F
L' D' R U' D' F B
L' D' R U' D' B F
L' D' R U' D2 F B
L' D' R U' D2 B F
L' D' R U' F D B
L' D' R U' F D' B
L' D' R U' F D2 B
L' D' R U' F B D
L' D' R U' F B D'
L' D' R U' F B D2
L' D' R U' B D F
L' D' R U' B D' F
L' D' R U' B D2 F
L' D' R U' B F D
L' D' R U' B F D'
L' D' R U' B F D2
L D' L2 R U' F B
L D' L2 R U' B F
L' D' R D U' F B
L' D' R D U' B F
L' D' R D' U' F B
L' D' R D' U' B F
L' D' R D2 U' F B
L' D' R D2 U' B F
L2 D' R L U' F B
L2 D' R L U' B F
L' D' R' U F' U2 F2
L' D' R' U' F D2 B2
L D' R L2 U' F B
L D' R L2 U' B F
L D' R U B' U2 B2
L D' R U' B D2 F2
L D' R' U F' B' U2
L D' R' U B' F' U2
R D' U' B U' R' U
R D' B' L B U' B
D' U' B U' L R' U
U' D' B U' L R' U
D' U' B U' R' L U
U' D' B U' R' L U
L2 D2 L R U' F B
L2 D2 L R U' B F
U' D' B' U L R' U'
U' D' B' U R' L U'
D' U' B' U L R' U'
D' U' B' U R' L U'
R2 D2 L R U' F' B'
R2 D2 L R U' B' F'
L' D2 R U' D F B
L' D2 R U' D B F
L' D2 R U' D' F B
L' D2 R U' D' B F
L' D2 R U' D2 F B
L' D2 R U' D2 B F
L' D2 R U' F D B
L' D2 R U' F D' B
L' D2 R U' F D2 B
L' D2 R U' F B D
L' D2 R U' F B D'
L' D2 R U' F B D2
L' D2 R U' B D F
L' D2 R U' B D' F
L' D2 R U' B D2 F
L' D2 R U' B F D
L' D2 R U' B F D'
L' D2 R U' B F D2
D2 U2 L' R U F' B'
D2 U2 L' R U B' F'
L' D2 R D U' F B
L' D2 R D U' B F
L' D2 R D' U' F B
L' D2 R D' U' B F
L D2 L2 R U' F B
L D2 L2 R U' B F
L2 D2 R L U' F B
L2 D2 R L U' B F
L' D2 R D2 U' F B
L' D2 R D2 U' B F
R2 D2 R L U' F' B'
R2 D2 R L U' B' F'
U2 D2 L' R U F' B'
U2 D2 L' R U B' F'
L' D2 R' U F' U2 F2
L' D2 R' U' F D2 B2
L D2 R L2 U' F B
L D2 R L2 U' B F
L D2 R U B' U2 B2
L D2 R U' B D2 F2
D2 U2 R L' U F' B'
D2 U2 R L' U B' F'
L D2 R' U F' B' U2
L D2 R' U B' F' U2
U2 D2 R L' U F' B'
U2 D2 R L' U B' F'
R D2 U' R F' R' B
F' U2 L' U F B' R'
F' U2 L' U B' R' F
F' U2 L' U B' F R'
R D2 U' B R F' R'
U D2 F U' R U' F'
U2 F L' F' U F2 B'
U2 F L' F' U B' F2
D F L' F' R U' B
R F L' F' U' F2 B
R F L' F' U' B F2
U' F U' L' U F B'
U' F U' L' U B' F
U F U' L' R U' F
U F U' R L' U' F
U F U' D2 R U' F'
F' D R F L' U' B
U F D2 U' R U' F'
F' D F L' R U' B
F' D F R L' U' B
R F' L' U' F B R
R F' L' U' B F R
D2 F' R F U' F2 B
D2 F' R F U' B F2
L' F' R F U' F B
L' F' R F U' B F
U' F' U' L' U F B'
U' F' U' L' U B' F
U F' U L' R U F
U F' U L' R' U F
U F' U L' R2 U F
U F' U L' U D F
U F' U L' U D' F
U F' U L' U D2 F
U F' U L' U F D
U F' U L' U F D'
U F' U L' U F D2
U F' U L' D U F
U F' U L' D' U F
U F' U L' D2 U F
U F' U R L' U F
U F' U R' L' U F
U F' U R2 L' U F
R F' D F L' U' B
B D' R B' L U' B2
U F' B U L' U F
U F' B' U L' U F
U F' B2 U L' U F
U2 F2 L' F2 U F' B'
U2 F2 L' F2 U B' F'
D2 F2 R F2 U' F B
D2 F2 R F2 U' B F
R F2 L' F2 U' F' B
R F2 L' F2 U' B F'
U' F2 U' L' U F B'
U' F2 U' L' U B' F
B D' B' L R U' B
B D' B' R L U' B
F' D2 R F U' F2 B
F' D2 R F U' B F2
B D2 R B' U' F' B2
B D2 R B' U' B2 F'
U' B L' D' F L B2
U' B L' F D' L B2
F' D2 F R U' F' B
F' D2 F R U' B F'
D2 B R B' U' F' B2
D2 B R B' U' B2 F'
L' B R B' U' F B2
L' B R B' U' B2 F
B' D2 B R U' F' B
B' D2 B R U' B F'
F D2 F' R U' F' B
F D2 F' R U' B F'
U' B U' L U' B' U2
B D2 B' R U' F' B
B D2 B' R U' B F'
U B U L' U F B'
U B U L' U B' F
R B D' B' L U' B
D' B' L B R U' B
U B F' U L' U F
U2 B' L' B U F B2
U2 B' L' B U B2 F
R B' L' B U' F B
R B' L' B U' B F
U' B' U L' R' U' F
U' B' U R' L' U' F
U B' U L' U F B'
U B' U L' U B' F
U' B2 L' D F L B'
U B' F' U L' U F
U' B2 L' F D L B'
U2 B2 L' B2 U F B
U2 B2 L' B2 U B F
D2 B2 R B2 U' F' B'
D2 B2 R B2 U' B' F'
L' B2 R B2 U' F B'
L' B2 R B2 U' B' F
U B2 U L' U F B'
U B2 U L' U B' F
U B2 F' U L' U F
